0:0:0:0:0:0:0:1 - - [05/May/2023:16:54:31 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [05/May/2023:16:54:31 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:17:01:40 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:01:42 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:01:44 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:01:50 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:17:35 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:17:41 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:17:43 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:18:28 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:18:53 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:19:29 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:19:36 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:19:40 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:25:14 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:25:21 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:25:24 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:25:25 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:25:32 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:25:36 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:28:56 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:28:58 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:01 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:02 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:06 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:23 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
