127.0.0.1 - - [24/Apr/2023:13:09:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:09:34 +0530] "GET /xworkz-rudra-cm/ HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:09:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:10:56 +0530] "GET /xworkz-rudra-cm/ HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:14:26 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:14:37 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:14:37 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:14:57 +0530] "GET /xworkz-rudra-cm/profileUpdate.jsp HTTP/1.1" 200 5171
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:14:57 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:01 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:01 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:03 +0530] "GET /xworkz-rudra-cm/addTechnology HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:03 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:07 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:07 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:09 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 4305
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:09 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:19 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1560
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:19 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:24 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:15:28 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:21:21 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:21:30 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:21:33 +0530] "GET /xworkz-rudra-cm/resetpassword.jsp HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:21:51 +0530] "POST /xworkz-rudra-cm/reset HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:22:33 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:22:35 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:22:36 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:22:47 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:22:56 +0530] "POST /xworkz-rudra-cm/passwordUpdate HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:02 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:12 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:12 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:34 +0530] "GET /xworkz-rudra-cm/view?userId=omkar HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:34 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:37 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:37 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:41 +0530] "GET /xworkz-rudra-cm/addTechnology HTTP/1.1" 200 2971
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:23:41 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:24:07 +0530] "POST /xworkz-rudra-cm/addTechnology HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:24:07 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:24:15 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:24:15 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:24:17 +0530] "GET /xworkz-rudra-cm/view?userId=omkar HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [24/Apr/2023:13:24:17 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
