127.0.0.1 - - [20/Apr/2023:12:09:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:13 +0530] "GET /xworkz-rudra-cm/ HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:15 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:23 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:23 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:29 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:29 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:50 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:50 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:53 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:53 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:55 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:00:55 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:06:46 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:06:47 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:06:50 +0530] "GET /xworkz-rudra-cm/add.jsp HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:06:50 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:08:31 +0530] "POST /xworkz-rudra-cm/addTechnology HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [20/Apr/2023:13:08:31 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1681899236272.jpg HTTP/1.1" 200 64490
